25,2,2,1,2,NaN,NaN,0,0,0,40,55,45,100,100,100,0,1,2,1,2,-1,2
37,1,5,1,2,NaN,NaN,0,0,0,48,46,49,100,71,38,2,0,5,0,1,0,3
35,1,3,1,2,NaN,NaN,0,0,0,70,59,64,79,73,26,9,0,3,0,3,0,1
59,1,1,1,2,NaN,NaN,1,1,1,0,24,26,99,79,50,13,0,1,0,1,0,3
26,1,2,1,2,NaN,NaN,1,1,0,87,71,47,100,100,100,0,1,2,1,2,-1,2
23,1,1,1,2,NaN,NaN,0,0,0,65,64,63,86,84,75,73,0,1,0,1,0,3
30,1,5,1,2,NaN,NaN,0,0,0,60,0,50,75,100,100,100,0,5,0,1,0,3
30,1,4,1,2,NaN,NaN,1,0,0,48,37,46,47,53,25,25,1,4,-1,2,1,2
44,1,2,1,2,NaN,NaN,1,0,0,52,100,57,100,100,100,9,1,2,1,2,-1,2
39,1,1,1,2,NaN,NaN,0,0,1,50,97,50,23,100,28,53,0,1,0,1,0,3
59,1,3,1,2,NaN,NaN,1,1,0,50,50,40,100,100,24,7,0,3,0,3,0,1
41,1,4,1,2,NaN,NaN,0,0,0,58,100,81,84,38,20,1,1,4,-1,2,1,2
41,1,4,1,2,NaN,NaN,1,1,1,41,30,15,72,46,35,23,1,4,-1,2,1,2
37,1,1,1,2,NaN,NaN,1,1,0,22,18,53,100,100,100,100,0,1,0,1,0,3
57,1,3,1,2,NaN,NaN,0,0,0,50,100,50,98,100,0,0,0,3,0,3,0,1
30,1,2,1,2,NaN,NaN,0,0,0,66,99,89,100,100,80,0,1,2,1,2,-1,2
33,1,2,1,2,NaN,NaN,0,0,0,90,99,50,100,100,100,7,1,2,1,2,-1,2
37,1,4,1,2,NaN,NaN,1,0,0,0,97,50,100,21,0,3,1,4,-1,2,1,2
28,1,5,1,2,NaN,NaN,0,0,1,64,90,25,39,25,16,3,0,5,0,1,0,3
28,2,3,1,2,NaN,NaN,0,0,0,100,100,100,100,100,3,0,0,3,0,3,0,1
29,1,1,1,2,NaN,NaN,0,0,0,54,52,53,100,100,31,5,0,1,0,1,0,3
35,1,2,1,2,NaN,NaN,0,0,0,98,97,96,100,100,100,1,1,2,1,2,-1,2
58,1,5,1,2,NaN,NaN,1,0,1,52,100,69,17,11,5,2,0,5,0,1,0,3
40,1,4,1,2,NaN,NaN,1,1,1,50,50,50,80,0,0,0,1,4,-1,2,1,2
33,2,5,1,2,NaN,NaN,0,0,0,89,81,86,36,25,13,2,0,5,0,1,0,3
29,1,2,1,2,NaN,NaN,0,0,0,80,86,88,100,100,100,0,1,2,1,2,-1,2
56,1,1,1,2,NaN,NaN,0,0,0,75,74,76,98,91,86,78,0,1,0,1,0,3
58,1,3,1,2,NaN,NaN,0,0,0,95,100,93,100,100,0,0,0,3,0,3,0,1
21,1,4,1,2,NaN,NaN,1,0,1,13,99,13,100,53,15,4,1,4,-1,2,1,2
40,1,4,1,2,NaN,NaN,1,0,1,28,96,15,100,0,0,0,1,4,-1,2,1,2
30,1,5,1,2,NaN,NaN,0,1,1,85,19,72,38,28,8,0,0,5,0,1,0,3
49,1,4,1,2,NaN,NaN,0,0,0,80,34,45,89,58,31,4,1,4,-1,2,1,2
35,1,3,1,2,NaN,NaN,0,1,0,40,64,29,100,80,30,0,0,3,0,3,0,1
27,1,5,1,2,NaN,NaN,1,0,1,20,50,40,50,30,0,0,0,5,0,1,0,3
20,1,2,1,2,NaN,NaN,0,0,0,93,100,100,88,88,74,6,1,2,1,2,-1,2
31,2,1,1,2,NaN,NaN,0,1,0,73,1,100,100,98,100,99,0,1,0,1,0,3
22,1,5,1,2,NaN,NaN,0,0,0,50,50,50,50,0,0,0,0,5,0,1,0,3
46,1,2,1,2,NaN,NaN,1,0,0,53,92,80,98,98,98,31,1,2,1,2,-1,2
35,1,3,1,2,NaN,NaN,0,0,0,63,45,45,99,100,35,0,0,3,0,3,0,1
40,1,4,1,2,NaN,NaN,1,0,1,10,90,10,98,23,11,1,1,4,-1,2,1,2
44,1,1,1,2,NaN,NaN,1,1,1,0,51,48,99,97,95,95,0,1,0,1,0,3
49,2,5,1,2,NaN,NaN,0,0,0,80,52,23,94,71,50,3,0,5,0,1,0,3
41,1,1,1,2,NaN,NaN,1,0,0,15,98,42,100,100,100,38,0,1,0,1,0,3
44,1,2,1,2,NaN,NaN,1,0,0,0,100,99,100,100,50,0,1,2,1,2,-1,2
39,1,4,1,2,NaN,NaN,0,0,0,18,99,60,99,15,0,0,1,4,-1,2,1,2
44,1,5,1,2,NaN,NaN,0,0,0,50,50,50,0,0,0,0,0,5,0,1,0,3
66,1,5,1,2,NaN,NaN,1,0,0,50,50,50,51,39,26,1,0,5,0,1,0,3
78,1,1,1,2,NaN,NaN,0,1,0,47,46,33,85,72,63,50,0,1,0,1,0,3
49,1,3,1,2,NaN,NaN,0,0,1,54,99,81,99,98,33,0,0,3,0,3,0,1
28,1,4,1,2,NaN,NaN,0,0,0,58,97,24,92,47,16,1,1,4,-1,2,1,2
54,1,2,1,2,NaN,NaN,1,1,1,30,39,50,100,100,99,0,1,2,1,2,-1,2
38,1,3,1,2,NaN,NaN,0,0,0,50,82,50,100,100,5,0,0,3,0,3,0,1
34,2,4,1,2,NaN,NaN,1,0,1,18,94,3,78,22,9,3,1,4,-1,2,1,2
36,2,1,1,2,NaN,NaN,1,0,0,47,94,25,100,96,95,91,0,1,0,1,0,3
